1,Swiggy - Software Development
2,"Persistent Systems Ltd.,Verna - Machine Learning"
3,Arcon Tech- Machine Learning
4,National Stock Exchange
5,L&T Infotech- Research and study on IIOT
6,Centre for Railway Information Systems
7,CEERI Pilani - Machine Learning/DSP/AI
8,Homi Bhabha Centre For Science Education - IoT - Web Development
9,Centre for Development of Telemetics (CDot)
10,CDAC- Web Deveopment
11,L & T Infotech - Research
12,UST Global - Research/Blockchain
13,Nihon Communication Solutions Pvt. Ltd - Embebdded Systems/IoT
14,Computer Ware - Others(Wireless Hotspot Management)
15,CEERI Pilani - Embedded Systems/IoT
16,NIC- Public Distribution System Operations
17,NIC-Web development
18,NIC- Mobile App development
19,L & T Infotech - Business Intelligence
20,L & T Infotech - Machine Learning
21,William O Neil - Data Analytics
22,Americana Foods - Digital Analytics
23,Americana Foods - Retail Modelling
24,Americana Foods-Actionable KPI Design & communication
25,Indian Institute Of Remote Sensing - Machine Learning/DSP/AI
26,National Institute of Oceanography -Embedded Systems/IoT
27,National Institute of Oceanography -Machine Learning/DSP/AI
28,UST Global - Machine Learning
29,UST Global - Machine Learning/DSP/AI
30,Adani Power-Computer science
31,CEERI Pilani - VLSI Design/Circuit Design
32,L&T Infotech- Business Development
33,CEERI Pilani - App/AR/VR
34,CEERI Pilani - Industrial Automation and Control
35,IT Department - Government of Rajasthan - Internet of Things
36,COUTURE AI- Machine Learning/Deep Learning
37,Dybo
38,Bharat Electronics Limited
39,CSIR-National Aerospace Laboratories - Machine Learning/DSP/AI
40,Central Scientific Instruments Organization - Industrial Automation & Control
41,Regional Remote Sensing Centre
42,"National Centre For Polar And Ocean Research- Data Analytics, Machine Learning"
43,Army Base Workshop - Machine Learning
44,National Chemical Laboratory-Computer science
45,L & T Infotech - Data Analytics
46,L & T Infotech - Others
47,Happiest Minds Technologies
48,LOGIQ LABS Pvt Ltd - Machine Learning/DSP/AI
49,L & T Infotech - Web Development
50,Almaconnect- General Management
51,NIVEA India Pvt.Ltd.-Operations Management
52,"Alma connect - customer relationship management,New delhi"
53,Village book builders- IT networking
54,Hexacorp - Product Engineering
55,Hexagon Capability Center India Pvt. Ltd - Machine Learning
56,IT Department - Government of Rajasthan - Mobile Application Development
57,IT Department - Government of Rajasthan - Web Development
58,Kerala Infrastructure and Technogy for Education
59,Kotak Education Foundation Tech - Web Development
60,L&T Infotech- Academy and training
61,L&T Infotech- Presales
62,Hexacorp - Cloud Services
63,Habbit - Product Management
64,SAMIL- Vehicle recommendation system
65,Swecha - Speech Recognition
66,Telangana e-governance - Software Development
67,Swecha  Machine Learning
68,Indira Gandhi Centre for Atomic Research (IGCAR)
69,CSIR-Institute of Genomics & Integrative Biology
70,CSPL - Product Management
71,Multigraphics - ERP
72,VoiceQube - Software Development
73,"Department of Technical Education, Training & Skill Development"
74,Purchasing Power IT & Business Solutions India LLP
75,TNSTC - Digital Content - Astronomy - App/AR/VR
76,Suzlon Energy- Branding campaigns and strategy
77,Purchasing Power - Web Development/UI Development
78,SenRa Tech Pvt Ltd - Embedded Systems/IoT
79,Agile Connects Private Ltd - Embedded Systems/IoI
80,CSIR-National Aerospace Laboratories - VLSI Design/Circuit Design
81,EUPHEUS LEARNING
82,Swecha  - Shell Programming
83,Knowcross Solutions Pvt Ltd- Tech
84,LightSpeed AI Labs Pvt Ltd - Industrial Automation & Control
85,LightSpeed AI Labs Pvt Ltd - Machine Learning/DSP/AI
86,Medcords- Business Analysis
87,Bill Cloud Pvt Ltd
88,Celebal Technologies Pvt Ltd
89,Madras Mindworks Pvt Ltd - App/AR/VR
90,Medsupervision Pvt. Ltd - App/AR/VR
91,MSys Technologies - Tech
92,Elixar Systems - APP Development
93,National Institute of Oceanography - Industrial Automation & Control
94,NPBridge Solutions Private Limited
95,Petasense Technologies Pvt. Ltd.
96,Prodapt
97,Greendeck Cliff.ai-Deep Learning
98,Greendeck Cliff.ai-Machine Learning
99,Race2Cloud Technologies Pvt. Ltd. -  Apps on Zoho Creator
100,Shris  Infotech  Services Pvt Ltd
101,Silver Touch Technologies Ltd
102,Smartlink Holdings Ltd ( Digisol Systems Ltd )
103,UST Global - VLSI Design/Circuit Design
104,WEBiROID Technology & Consultancy Services Pvt. Ltd.Kolkata-Content development
105,WEBiROID Technology & Consultancy Services Pvt. Ltd.Kolkata-Digital Marketing
106,Agile connect - Cloud Appplication Dev
107,Afour tech -Mobile App development
108,Agnext tech- AL/ML
109,Agnext tech-Computer Vision
110,Agnext tech-Software Development
